company_id,canonical_name,country,region_group,value_chain_stage,listed,exchanges,tickers,notes
1211.HK,BYD,China,China,OEM / EV Brand; Battery (vertical),True,HKEX;SZSE,1211.HK;002594.SZ,
600104.SH,SAIC Motor,China,China,OEM / EV Brand,True,SSE,600104.SH,
0175.HK,Geely Automobile,China,China,OEM / EV Brand,True,HKEX,0175.HK,
601633.SH,Great Wall Motor,China,China,OEM / EV Brand,True,SSE;HKEX,601633.SH;2333.HK,
000625.SZ,Changan Automobile,China,China,OEM / EV Brand,True,SZSE,000625.SZ,
600006.SH,Dongfeng Motor,China,China,OEM / EV Brand,True,SSE,600006.SH,
601238.SH,GAC Group,China,China,OEM / EV Brand,True,SSE,601238.SH,
600733.SH,BAIC BluePark,China,China,OEM / EV Brand,True,SSE,600733.SH,
600418.SH,JAC Motors,China,China,OEM / EV Brand,True,SSE,600418.SH,
601127.SH,Seres Group,China,China,OEM / EV Brand,True,SSE,601127.SH,
NIO,NIO,China,China,OEM / EV Brand,True,NYSE;HKEX;SGX,NIO;9866.HK;NIO.SI,
XPEV,XPeng,China,China,OEM / EV Brand,True,NYSE;HKEX,XPEV;9868.HK,
LI,Li Auto,China,China,OEM / EV Brand,True,NASDAQ;HKEX,LI;2015.HK,
9863.HK,Leapmotor,China,China,OEM / EV Brand,True,HKEX,9863.HK,
ZK,Zeekr,China,China,OEM / EV Brand,True,NYSE,ZK,Listing status can change; verify before final universe lock.
300750.SZ,CATL,China,China,Battery Cell / Pack,True,SZSE,300750.SZ,
3931.HK,CALB,China,China,Battery Cell / Pack,True,HKEX,3931.HK,
002074.SZ,Gotion High-Tech,China,China,Battery Cell / Pack,True,SZSE,002074.SZ,
300014.SZ,EVE Energy,China,China,Battery Cell / Pack,True,SZSE,300014.SZ,
300207.SZ,Sunwoda,China,China,Battery Cell / Pack,True,SZSE,300207.SZ,
002812.SZ,Semcorp (Yunnan Energy New Material),China,China,Separator,True,SZSE,002812.SZ,
300568.SZ,Senior Technology Material,China,China,Separator,True,SZSE,300568.SZ,
002709.SZ,Tinci Materials,China,China,Electrolyte / Additives,True,SZSE,002709.SZ,
300037.SZ,Capchem,China,China,Electrolyte / Battery chemicals,True,SZSE,300037.SZ,
920185.BJ,BTR New Material,China,China,Anode (and some cathode-related),True,BSE,920185.BJ;835185.BJ,Ticker conventions vary across data vendors; choose one canonical ticker.
603659.SH,Putailai,China,China,Anode / Materials,True,SSE,603659.SH,
600884.SH,Shanshan,China,China,Anode / Materials (group exposure),True,SSE,600884.SH,
603799.SH,Huayou Cobalt,China,China,Precursors / Refining (Co/Ni) / Cathode supply,True,SSE,603799.SH,
