src_company_id,rel_type,dst_company_id,confidence_plink,strength,evidence,source,valid_from,valid_to,risk_rationale
373220.KS,SUPPLIES,GM,1.0,1.0,LG Energy Solution supplies to GM via Ultium Cells JV established Dec 2019,Bloomberg_2019-12-05,2019-12-05,,
373220.KS,SUPPLIES,F,1.0,1.0,LG Energy Solution supplies batteries to Ford; $6.5B deal terminated Dec 2025,WardsAuto_2025-12,2020-01-01,2025-12-01,
002460.SZ,SUPPLIES,300750.SZ,1.0,0.9,Ganfeng Lithium supplies lithium compounds to CATL per long-term offtake,Ganfeng_AR2022,2018-01-01,,
603799.SH,SUPPLIES,373220.KS,1.0,0.8,Huayou Cobalt supplies cobalt/nickel precursors to LGES supply chain,Huayou_AR2022,2019-01-01,,
603799.SH,SUPPLIES,300750.SZ,1.0,0.8,Huayou Cobalt supplies precursors to CATL; strategic collaboration confirmed,Huayou_AR2022,2019-01-01,,
300037.SZ,SUPPLIES,300750.SZ,1.0,0.7,Capchem supplies electrolyte to CATL as key supplier,Capchem_AR2022,2018-01-01,,
247540.KQ,SUPPLIES,373220.KS,1.0,0.9,EcoPro BM supplies high-nickel cathode materials to LGES,EcoPro_AR2022,2019-01-01,,
247540.KQ,PARTNERS_WITH,3407.T,0.6,0.3,EcoPro BM and Asahi Kasei explored materials R&D collaboration; no confirmed supply relationship,Industry_Report_2021,2021-01-01,,
002466.SZ,SUPPLIES,300750.SZ,1.0,0.8,Tianqi Lithium supplies lithium hydroxide/carbonate to CATL,Tianqi_AR2022,2018-01-01,,
603993.SH,SUPPLIES,300750.SZ,1.0,0.7,CMOC supplies cobalt/copper to CATL from DRC and Indonesia operations,CMOC_AR2022,2019-01-01,,
ALB,SUPPLIES,373220.KS,1.0,0.8,Albemarle supplies lithium hydroxide to LGES from global operations,Albemarle_AR2022,2018-01-01,,
GLEN.L,SUPPLIES,300750.SZ,1.0,0.9,Glencore supplies cobalt to CATL from DRC mining operations,Glencore_AR2022,2019-01-01,,
0175.HK,PARTNERS_WITH,300750.SZ,1.0,0.8,Geely-CATL JV established with 1B yuan capital (CATL 51% / Geely 49%),Electrive_2019-01-02,2019-01-01,,
3931.HK,SUPPLIES,600733.SH,1.0,0.7,CALB supplies batteries to BAIC BluePark for EV models,CALB_AR2022,2020-01-01,,
300750.SZ,SUPPLIES,000625.SZ,0.9,0.7,Changan Automobile sources batteries from CATL,CATL_AR2022,2020-01-01,,
7267.T,PARTNERS_WITH,373220.KS,1.0,0.8,Honda-LGES JV (L-H Battery Company) in Ohio announced Aug 2022; $4.4B investment,Honda_PR_2022-10-11,2022-08-01,,
373220.KS,SUPPLIES,LCID,0.9,0.5,Lucid sources cylindrical cells from LGES for Air sedan,LGES_AR2022,2021-01-01,,
066970.KS,SUPPLIES,373220.KS,1.0,0.9,L&F supplies high-nickel NCMA cathode to LGES,L&F_AR2022,2019-01-01,,
003670.KS,SUPPLIES,300750.SZ,0.9,0.7,POSCO Future M supplies cathode/anode materials to CATL,POSCO_FutureM_AR2022,2020-01-01,,
003670.KS,SUPPLIES,373220.KS,1.0,0.9,POSCO Future M supplies cathode and anode materials to LGES,POSCO_FutureM_AR2022,2019-01-01,,
LICY,PARTNERS_WITH,GLEN.L,1.0,0.7,Li-Cycle and Glencore strategic partnership; Glencore invested $200M convertible note,Glencore_PR_2022-05,2022-05-01,2025-05-15,
BAS.DE,PARTNERS_WITH,300750.SZ,1.0,0.6,BASF and CATL framework agreement for cathode active materials and battery recycling,BASF_PR_2021-09-16,2021-09-16,,
Chile,PRODUCES,Lithium,1.0,1.0,Chile is world's second-largest lithium producer (SQM/Albemarle Atacama operations),USGS_Mineral_Commodities_2023,,,
Australia,PRODUCES,Lithium,1.0,1.0,Australia is world's largest lithium producer (spodumene from Greenbushes/Mt Marion),USGS_Mineral_Commodities_2023,,,
Indonesia,PRODUCES,Nickel,1.0,1.0,Indonesia is world's largest nickel producer (~50% global share),USGS_Mineral_Commodities_2023,,,
Congo,PRODUCES,Cobalt,1.0,1.0,DRC produces ~70% of global cobalt supply,USGS_Mineral_Commodities_2023,,,
China,PRODUCES,Refined_Materials,1.0,1.0,China dominates global battery material refining (~60-80% of lithium/cobalt/nickel refining),Benchmark_Minerals_2023,,,
ALB,LOCATED_IN,Chile,1.0,0.8,Albemarle operates lithium brine extraction at Salar de Atacama in Chile,Albemarle_AR2022,,,Albemarle in Chile -> exposed to Chilean lithium nationalization policy (2023 decree) and Atacama water use restrictions
ALB,LOCATED_IN,Australia,1.0,0.7,Albemarle operates Kemerton lithium hydroxide conversion plant and Greenbushes mine JV,Albemarle_AR2022,,,Albemarle in Australia -> exposed to Australian critical minerals export controls and Aboriginal land rights regulations
300750.SZ,SOURCES_FROM,Chile,0.9,0.6,CATL sources lithium from Chilean operations via suppliers (Albemarle/SQM),Industry_Analysis_2023,,,
373220.KS,SOURCES_FROM,Indonesia,0.9,0.7,LGES sources nickel from Indonesian HPAL operations,Industry_Analysis_2023,,,
GLEN.L,LOCATED_IN,Congo,1.0,0.9,Glencore operates Mutanda and KCC cobalt mines in DRC,Glencore_AR2022,,,Glencore in Congo -> exposed to DRC political instability; artisanal mining regulations; EU due diligence directives
603993.SH,LOCATED_IN,Congo,1.0,0.8,CMOC operates Tenke Fungurume cobalt/copper mine in DRC,CMOC_AR2022,,,CMOC in Congo -> exposed to DRC political instability; mining code revisions; artisanal mining overlap risks
Shanghai_Port,LOCATED_IN,China,1.0,1.0,Shanghai Port is world's largest container port; critical logistics hub,Port_Authority_2023,,,Shanghai Port in China -> exposed to COVID-style lockdowns; Taiwan Strait tensions disrupting shipping; typhoon risk
300750.SZ,DEPENDS_ON_ROUTE,Shanghai_Port,1.0,0.8,CATL relies on Shanghai Port for battery cell/module exports,CATL_AR2022,,,
1211.HK,DEPENDS_ON_ROUTE,Shanghai_Port,1.0,0.8,BYD relies on Shanghai Port for vehicle and battery exports,BYD_AR2022,,,
Long_Beach_Port,LOCATED_IN,USA,1.0,1.0,Long Beach Port is key US West Coast logistics hub for EV/battery imports,Port_Authority_2023,,,Long Beach Port in USA -> exposed to US West Coast port labor disputes; congestion risk; potential tariff enforcement chokepoint
920185.BJ,SUPPLIES,300750.SZ,1.0,0.9,BTR New Material supplies anode materials (graphite) to CATL,BTR_AR2022,2018-01-01,,
920185.BJ,SUPPLIES,373220.KS,1.0,0.8,BTR New Material supplies anode materials to LGES,BTR_AR2022,2018-01-01,,
300014.SZ,SUPPLIES,BMW.DE,1.0,0.7,EVE Energy supplies battery cells to BMW for PHEV/BEV models,EVE_AR2022,2020-01-01,,
300207.SZ,SUPPLIES,0175.HK,1.0,0.7,Sunwoda supplies battery packs to Geely for BEV/PHEV models,Sunwoda_AR2022,2019-01-01,,
300207.SZ,SUPPLIES,601238.SH,0.9,0.6,Sunwoda supplies battery packs to GAC Group,Sunwoda_AR2022,2020-01-01,,
300919.SZ,SUPPLIES,300750.SZ,1.0,0.9,CNGR Advanced Material supplies ternary precursors to CATL,CNGR_AR2022,2018-01-01,,
300919.SZ,SUPPLIES,373220.KS,1.0,0.8,CNGR Advanced Material supplies ternary precursors to LGES,CNGR_AR2022,2019-01-01,,
002340.SZ,SUPPLIES,300750.SZ,1.0,0.8,GEM Co supplies precursor materials and recycled metals to CATL,GEM_AR2022,2018-01-01,,
002340.SZ,SUPPLIES,373220.KS,1.0,0.8,GEM Co supplies precursor materials to LGES,GEM_AR2022,2019-01-01,,
688388.SH,SUPPLIES,300750.SZ,1.0,0.7,Jiayuan International supplies copper foil to CATL for current collectors,Jiayuan_AR2022,2019-01-01,,
688388.SH,SUPPLIES,1211.HK,0.9,0.6,Jiayuan International supplies copper foil to BYD,Jiayuan_AR2022,2020-01-01,,
600110.SH,SUPPLIES,300750.SZ,1.0,0.7,Nuode Investment supplies copper foil to CATL,Nuode_AR2022,2019-01-01,,
600110.SH,SUPPLIES,1211.HK,0.9,0.6,Nuode Investment supplies copper foil to BYD,Nuode_AR2022,2020-01-01,,
603659.SH,SUPPLIES,300750.SZ,1.0,0.8,Putailai supplies artificial graphite anode to CATL,Putailai_AR2022,2018-01-01,,
