company_id,canonical_name,country,region_group,value_chain_stage,listed,exchanges,tickers,notes
373220.KS,LG Energy Solution,Korea,Overseas,Battery Cell / Pack,True,KRX,373220.KS,
006400.KS,Samsung SDI,Korea,Overseas,Battery Cell / Pack,True,KRX,006400.KS,
003670.KS,POSCO Future M,Korea,Overseas,Cathode/Anode Materials,True,KRX,003670.KS,
247540.KQ,EcoPro BM,Korea,Overseas,Cathode Materials,True,KOSDAQ,247540.KQ,
066970.KS,L&F,Korea,Overseas,Cathode Materials,True,KRX,066970.KS,
051910.KS,LG Chem,Korea,Overseas,Battery materials / Chemicals,True,KRX,051910.KS,
096770.KS,SK Innovation,Korea,Overseas,Battery exposure (via SK On) / Energy,True,KRX,096770.KS,SK On not listed; use parent exposure.
034730.KS,SK Inc.,Korea,Overseas,Holdco exposure (battery),True,KRX,034730.KS,Optional depending on universe design.
6752.T,Panasonic Holdings,Japan,Overseas,Battery Cell (supplier),True,TSE,6752.T,
7203.T,Toyota,Japan,Overseas,OEM / EV Brand,True,TSE,7203.T,
7267.T,Honda,Japan,Overseas,OEM / EV Brand,True,TSE,7267.T,
7201.T,Nissan,Japan,Overseas,OEM / EV Brand,True,TSE,7201.T,
3407.T,Asahi Kasei,Japan,Overseas,Separator / Materials,True,TSE,3407.T,
3402.T,Toray Industries,Japan,Overseas,Separator / Materials,True,TSE,3402.T,
5713.T,Sumitomo Metal Mining,Japan,Overseas,Precursors / Metals (Ni),True,TSE,5713.T,
TSLA,Tesla,USA,Overseas,OEM / EV Brand,True,NASDAQ,TSLA,
GM,General Motors,USA,Overseas,OEM / EV Brand,True,NYSE,GM,
F,Ford,USA,Overseas,OEM / EV Brand,True,NYSE,F,
RIVN,Rivian,USA,Overseas,OEM / EV Brand,True,NASDAQ,RIVN,
LCID,Lucid,USA,Overseas,OEM / EV Brand,True,NASDAQ,LCID,
ALB,Albemarle,USA,Overseas,Lithium (upstream),True,NYSE,ALB,
LAC,Lithium Americas,Canada,Overseas,Lithium (upstream),True,NYSE/TSX,LAC,NYSE vs TSX tickers differ by vendor.
LICY,Li-Cycle,Canada,Overseas,Battery Recycling,True,NYSE,LICY,
VOW3.DE,Volkswagen,Germany,Overseas,OEM / EV Brand,True,XETRA,VOW3.DE,
BMW.DE,BMW,Germany,Overseas,OEM / EV Brand,True,XETRA,BMW.DE,
MBG.DE,Mercedes-Benz Group,Germany,Overseas,OEM / EV Brand,True,XETRA,MBG.DE,
STLA,Stellantis,Netherlands,Overseas,OEM / EV Brand,True,NYSE / Euronext,STLA,Multiple listings exist; pick one canonical venue.
UMI.BR,Umicore,Belgium,Overseas,Cathode materials / Recycling,True,Euronext Brussels,UMI.BR,
BAS.DE,BASF,Germany,Overseas,Battery chemicals / Materials,True,XETRA,BAS.DE,
GLEN.L,Glencore,UK,Overseas,Metals / Trading / Recycling exposure,True,LSE,GLEN.L,
