Source,Target,Count
HMC,NEW_HONDA,24
F,NEW_YAHOO,13
F,NEW_ROYAL COMMISSION,13
F,HMC,10
F,NEW_FORD,8
NEW_SUPREME COURT,NEW_YAHOO,8
NEW_BF375424 BAA7,NEW_CLEVELAND POLICE,8
NEW_TOYOTA,TM,7
NEW_CHEVRON,NEW_YAHOO,6
HMC,TM,6
HMC,NEW_TOYOTA,6
F,NEW_HARTFORD CONNECTICUT,6
NEW_MONDAY_2312190 HTML,NEW_NATO,6
NEW_EU,NEW_UK NEWS,6
NEW_AZ NEWS US BELGIUM,NEW_BELGIAN PARTY,6
NEW_ABC,NEW_PEAKS,6
NEW_TEXAS SENATE,NEW_USA POLITICS,6
NEW_CHEVRON,NEW_SUPREME COURT,6
F,NEW_WATERFORD NEWS IE NEWS,5
NEW_GOP,NEW_YAHOO,5
NEW_GOP,NEW_SENATE,5
F,NEW_CONNECTICUT BAR ASSOCIATION,5
NEW_TRUMP,NEW_VISA,4
NEW_TRUMP,NEW_UK NEWS,4
NEW_EU FARAGE,NEW_UK NEWS,4
NEW_EU FARAGE,NEW_REFORM,4
F,TSLA,4
NEW_SAS,NEW_TROUBLES,4
NEW_SELF ORGANIZATION,NEW_THE CURATORIAL PROGRAM FOR RESEARCH,4
NEW_MAYFAIR ROLLING STONES,NEW_UK TVSHOWBIZ ARTICLE,4
NEW_BREXIT UK,NEW_EU,4
NEW_NARCO,NEW_TALIBAN,4
F,NEW_SENATE,4
NEW_BREXIT UK,NEW_STARMER,4
NEW_SEMIS ADICHIE HOSPITAL,NEW_US NIGERIA,4
NEW_INDIA CHINA,NEW_UN,4
NEW_BANK OF AMERICA,NEW_UNILEVER PLC,4
NEW_DETAIL,NEW_IRAN ARMED FORCES,4
NEW_EU,NEW_STARMER,4
F,NEW_HARTFORD HC NEWS HOUSE,4
NEW_INSTITUTE A COMMISSION OF INQUIRY,NEW_THE AUDITOR GENERALS OFFICE,4
NEW_TROUBLES,NEW_UK NEWS,4
NEW_INQUIRY,NEW_THE OFFICE OF THE AUDITOR GENERAL,4
NEW_REFORM,NEW_UK NEWS,4
NEW_UK NEWS,NEW_VISA,4
NEW_TALIBAN,NEW_UN GENERAL ASSEMBLY,4
NEW_STARMER,NEW_UK NEWS,4
NEW_BREXIT UK,NEW_UK NEWS,4
NEW_SENATE,NEW_YAHOO,4
NEW_CLEVELAND COM,NEW_CLEVELAND MUSEUM OF NATURAL,4
NEW_LUXEMBOURG AFRICA,NEW_THE CHAMBER OF COMMERCE,4
NEW_AZ,NEW_UN,4
NEW_SAS,NEW_UK NEWS,4
F,NEW_HARTFORD POLICE,3
NEW_AZ,NEW_CHALLENGES HEADSCARF BAN,3
HMC,NEW_HONDA MOTORS,3
F,NEW_MICHIGAN SENATE,3
NEW_HONDA MOTORS,NEW_JAPAN ARTICLE70662471,3
HMC,NEW_JAPAN ARTICLE70662471,3
NEW_73742D90,NEW_SAMARIA EX CLEVELAND POLICE,3
NEW_DETAIL,NEW_PRESS TV,3
NEW_NOMAD VISA,NEW_UK TRAVEL,3
NEW_GES,NEW_NEWSARCHIVE EDUCATION,3
NEW_ISRAELS UNLAWFUL,NEW_UN,3
NEW_MONTANA NATIONAL GUARD,NEW_NEWS MONTANA,3
NEW_NEWSARCHIVE,NEW_TEMA,3
HMC,NEW_FORD,3
F,NEW_HONDA,3
F,NEW_JULIUS BERMAN,3
NEW_ACCRA,NEW_TEMA,3
NEW_FLORIDA AG,NEW_YAHOO,3
HMC,NEW_UK NEWS,3
F,NEW_HARTFORD HEALTHCARE,3
NEW_JACINTA ALLAN,NEW_UK NEWS,3
NEW_CMS,NEW_SAMSUNG,3
F,NEW_EU MERCOSUR TRADE,3
F,NEW_ARTICLE_A4A26A39,3
HMC,NEW_NISSAN,3
F,NEW_WATERFORD NEWS IE NEWS HEALTH VIGIL,3
NEW_EC,NEW_VON DER LEYEN,3
HMC,NEW_CMS,3
NEW_MAG,NEW_MARSEILLE S MUCEM,3
F,NEW_BRENTFORD SNATCH,3
NEW_ACCRA,NEW_NEWSARCHIVE,3
NEW_AU AUSTRALIA NEWS,NEW_PARLIAMENT HOUSE NEWS,3
NEW_AG,NEW_NEWSARCHIVE SUPREME COURT,3
NEW_CLEVELAND CLINIC ABU DHABI,NEW_THE INTERNATIONAL HOSPITAL FEDERATION AWARDS,3
NEW_GOP,NEW_REVEAL MICHIGAN,2
F,NEW_HYDERABAD,2
NEW_IRS,NEW_UK NEWS,2
NEW_CLEVELAND FIRE BRIGADE,NEW_UK NEWS TEESSIDE NEWS,2
NEW_CLEVELAND,NEW_SENATE,2
F,NEW_UK NEWS,2
HMC,NEW_FEMA,2
NEW_AU AUSTRALIA NEWS,NEW_PARLIAMENT HOUSE NEWS STORY,2
NEW_FBI,NEW_YAHOO,2
NEW_DETAIL,NEW_UNRWA,2
NEW_HARTFORD CONNECTICUT,TSLA,2
NEW_ALGERIA NATIONAL NEWS MLZAD79K,NEW_SLOVAKIA S,2
HMC,NEW_BFDD C49167F4933A,2
NEW_CLEVELAND,NEW_FORD,2
NEW_AL KAABI,NEW_UAE CARIBBEAN,2
NEW_THE AFRICAN DEVELOPMENT BANK,NEW_THE UNITED STATES,2
NEW_HARTFORD CONNECTICUT,NEW_UK NEWS,2
NEW_UK NEWS,TSLA,2
NEW_IE NEWS NATIONAL NEWS,NEW_PRESBYTERIAN CHURCH ASSEMBLY,2
NEW_KANTURK MART,NEW_NEWS MART,2
NEW_BROOKFIELD ASSET MANAGEMENT LTD BAM,NEW_MUFG SECURITIES CANADA LTD HTML,2
NEW_BBC,NEW_UK NEWS,2
NEW_UK NEWS NATIONAL,NEW_UKRAINE LOAN,2
F,NEW_HOSPITALITY TRUST INC NYSEAHT,2
F,NEW_WATERFORD NEWS IE WHATSON,2
F,NEW_HARTFORD MULTIFACTOR,2
NEW_ORG NPR NEWS,NEW_THE U S OPERATION,2
TM,TSLA,2
F,NEW_HARTFORD FOUNDATION,2
NEW_BUSINESS 592666 SLOWER,NEW_RBC,2
F,NEW_CLEVELAND,2
F,NEW_CARNEW MART,2
NEW_APO,NEW_THE AFRICAN DEVELOPMENT BANK,2
NEW_ENNIS MART,NEW_NEWS MART,2
NEW_ALGERIA NATIONAL NEWS MJPH8MOL CHAIB,NEW_WINTER UNIVERSITY,2
NEW_GAZA GAZAS,NEW_RCNA251111,2
NEW_NATIONAL GUARD,NEW_UK NEWS ARTICLE,2
NEW_DAS,NEW_TEXAS AG,2
HMC,NEW_GM,2
NEW_ALGERIA NATIONAL NEWS,NEW_THE REPUBLIC S DIRECTIVES,2
NEW_MLI3STC1,NEW_THE REPUBLIC S DIRECTIVES,2
NEW_FARMERS,NEW_NIKEA,2
NEW_ALGERIA NATIONAL NEWS,NEW_MLI3STC1,2
NEW_PAMBAN SEIZES,NEW_SRI LANKAN NAVY,2
NEW_ABC,NEW_KATHERINE COURT,2
HMC,NEW_EL BALAD,2
F,NEW_OXFORD MAGISTRATES COURT,2
NEW_BBC,NEW_UK SHOWBIZ TV,2
F,NEW_IE NEWS NATIONAL NEWS,2
NEW_PEN FARTHING,NEW_UK NEWS,2
NEW_HONDA,NEW_TOYOTA,2
NEW_EC770F8690E7,NEW_EPA,2
NEW_EU,NEW_TOP_NEWS WORLD NEWS,2
HMC,NEW_HYUNDAI,2
HMC,NEW_HONDA AIRCRAFT COMPANY,2
F,NEW_CS=14329,2
F,NEW_CONNECTICUT DANBURY NEWS CT,2
NEW_TALIBAN,NEW_UK NEWS,2
NEW_HONDA,TM,2
NEW_PEN FARTHING,NEW_TALIBAN,2
NEW_SUSPECTED,NEW_UK NEWS,2
F,NEW_HARTFORD MAINE 69904464,2
NEW_DETAIL,NEW_PRESS TV S NEWS,2
NEW_CMS,NEW_KREMLIN,2
NEW_IRISH COUNCIL,NEW_YAHOO,2
NEW_ABC,NEW_CONGRESS,2
HMC,NEW_HONDA USA,2
NEW_CROATION SENSATION,NEW_UK NEWS ROYALS,2
NEW_AFFRONT HUMANITY SUDAN SLAMS UGANDA 135214381,NEW_YAHOO,2
NEW_JACKSONVILLE GRADUATE CAMPUS,NEW_UNIVERSITY OF FLORIDA,1
HMC,NEW_HONDA PHILIPPINES INC,1
NEW_I24NEWS TV EN NEWS INTERNATIONAL AMERICAS,NEW_NATO,1
NEW_BAWKU,NEW_INTERIOR,1
NEW_BAWKU,NEW_NEWSARCHIVE,1
NEW_INTERIOR,NEW_NEWSARCHIVE,1
NEW_CE7E5ADCD18DF320,NEW_NEWS CANADA S,1
F,NEW_WATERFORD NEWS IE NEWS ILL,1
F,NEW_HARTFORD OFFICE,1
NEW_THE UN GENERAL ASSEMBLY,NEW_UN,1
NEW_KING5,NEW_SHOP,1
NEW_CMS,NEW_PILGRIM,1
NEW_CMS,NEW_TATA STEEL JSW STEEL,1
HMC,NEW_ARTICLE NEWS BIBB COUNTY SHERIFFS OFFICE,1
F,NEW_GARDAI,1
NEW_ARTICLE_8A2286E1,NEW_NATIONAL JEN SHAH OF REAL HOUSEWIVES,1
NEW_GUYANA AG,NEW_UN,1
NEW_GOP,NEW_SEATTLE NEWS LAW JUSTICE SECURITY GUARD,1
NEW_AFRICAN DEVELOPMENT BANK,NEW_PRESS AFRICA,1
NEW_GREAT NIGERIA HOUSE,NEW_NAIRA GONE,1
F,NEW_HARTFORD FBI,1
F,NEW_BBC,1
F,NEW_BBC CO UK NEWS,1
F,NEW_EL BALAD,1
NEW_UN,NEW_UN GENERAL ASSEMBLY RENEWS MANDATE,1
NEW_NEWSARCHIVE,NEW_OSP S INTERPOL,1
NEW_AFN,NEW_FIRST NATIONS,1
NEW_FOOTHILLS,NEW_MT KENYA,1
NEW_MINNESOTAS SOMALI,NEW_UK NEWS,1
HMC,NEW_ARTICLE38086852,1
NEW_ARTICLE_A0D01C47 683D,NEW_NEW ORLEANS SCHOOLS IMMIGRATION,1
F,NEW_FOX9,1
F,NEW_CAREDOC,1
F,NEW_HARTFORD HARTFORD,1
NEW_HOUSE,NEW_YAHOO,1
NEW_GOP,NEW_MILLER,1
NEW_NEWKERALA COM NEWS,NEW_UN,1
NEW_NEWKERALA COM NEWS A CLEAN ENERGY FUTURE WITHIN REACH,NEW_UN,1
NEW_CROCKETT TEXAS,NEW_SENATE,1
NEW_KE NEWS,NEW_S DISCUSS POLICE,1
NEW_BOE,NEW_NORTON CITY,1
F,NEW_HARTFORD MICHIGAN STATE UNIVERSITY,1
F,NEW_NEWS QUINLAN,1
NEW_GMR,NEW_TAIF INTERNATIONAL AIRPORT PROJECT,1
NEW_OREGON AG,NEW_SUPREME COURT,1
F,NEW_HARTFORD ARCHDIOCESE,1
F,NEW_NEWS CONNECTICUT,1
NEW_HARTFORD ARCHDIOCESE,NEW_NEWS CONNECTICUT,1
NEW_KING5,NEW_WASHINGTON IMMIGRATION WASHINGTON,1
HMC,NEW_OXFORD MAGISTRATES COURT,1
NEW_C28DF213469E,NEW_SENATE,1
F,NEW_SMITH CRYSTAL,1
F,NEW_FHLBANK BOSTON,1
F,NEW_ZEINAS NEW HARTFORD BUSINESS ANNIVERSARY,1
F,NEW_UKFBJKZ2,1
NEW_INDIA SUMMIT20260222160834,NEW_UN,1
NEW_UK NEWS TEESSIDE NEWS,NEW_WILSON,1
NEW_KAMLOOPS,NEW_KAMLOOPS 589997 CONSERVATIVE,1
HMC,NEW_NEWS18,1
F,NEW_CTS,1
NEW_A9E482FF9CF3,NEW_NATO,1
NEW_CAPITOL HILL,NEW_CAPITOL NEWS FLORIDA,1
NEW_2,NEW_FBI,1
NEW_AG,NEW_HOUSE,1
F,NEW_UK NEWS WORLD NEWS CHRISTMAS HORROR,1
NEW_KE NEWS,NEW_KENYA AIR FORCE COMMANDER,1
NEW_KE NEWS,NEW_MOI AIR,1
NEW_KENYA AIR FORCE COMMANDER,NEW_MOI AIR,1
NEW_HARBOR CAPITAL ADVISORS INC SELLS,NEW_VITESSE ENERGY INC VTS,1
NEW_CLEVELAND CLEVELAND SHOOTING,NEW_ECE45F9A362F,1
NEW_EL RUFAI,NEW_ICPC,1
NEW_ABC,NEW_EUROPEAN UNION,1
NEW_FDA,NEW_PSU,1
HMC,NEW_ARTICLE_B49F4EF7,1
NEW_ANIL AMBANI,NEW_CMS,1
NEW_BROOKFIELD ASSET MANAGEMENT LTD BAM,NEW_HILLSDALE INVESTMENT MANAGEMENT INC HTML,1
NEW_ANNALY CAPITAL MANAGEMENT INC,NEW_VANGUARD GROUP INC HTML,1
NEW_AZ AG APPEALS CORP COMMS,NEW_TUCSON ELECTRIC POWER DATA CENTER,1
F,NEW_FORD MOTOR,1
NEW_CMS,NEW_CR MUSI RIVER LOAN,1
NEW_NEWSCONTENT,NEW_OMICR,1
NEW_CMS,NEW_INDIA SUPREME COURT,1
NEW_ARTICLE70412522,NEW_MADURAI,1
NEW_GH INTERNATIONAL COMMUNITIES ORGANISATION,NEW_UN,1
NEW_CHINAS ZEEKR,NEW_YAHOO,1
F,NEW_HARTFORD TOTAL,1
NEW_LINDA VA,NEW_LINDA VA OUTPATIENT CLINICS,1
NEW_AD5C 07AEFC8C1839,NEW_LA PINE AREA,1
NEW_GENERAL ELECTRIC NYSEGE PRICE TARGET,NEW_WELLS FARGO COMPANY,1
F,NEW_ZULLO INVESTMENT GROUP INC BOOSTS,1
NEW_FORD,NEW_ZULLO INVESTMENT GROUP INC BOOSTS,1
HMC,NEW_YAHOO,1
NEW_BBC WITCHELL,NEW_UK NEWS ROYALS,1
F,NEW_UK HEALTH ARTICLE,1
F,NEW_ANDREW ROCHE MANSLAUGHTER,1
